permit_month,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Mariana Islands,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2017-09,16717.0,209.0,5069.0,2935.0,57839.0,4356.0,4343.0,275.0,1.0,10784.0,12074.0,0.0,946.0,5162.0,15712.0,18241.0,5847.0,1567.0,378384.0,1827.0,783.0,0.0,2424.0,7160.0,16571.0,25645.0,1362.0,791.0,1076.0,3036.0,1952.0,2795.0,0.0,847.0,2933.0,19292.0,486.0,8741.0,0.0,3774.0,23144.0,0.0,0.0,9380.0,562.0,16887.0,31390.0,12094.0,0.0,1.0,585.0,11451.0,1668.0,12224.0,280.0
2017-08,19733.0,247.0,6733.0,3313.0,59528.0,5219.0,5896.0,288.0,19.0,18362.0,15046.0,0.0,1077.0,4736.0,17053.0,15664.0,6094.0,1642.0,376016.0,2450.0,1109.0,0.0,2629.0,8288.0,18347.0,28449.0,1703.0,897.0,1230.0,3180.0,1788.0,2065.0,0.0,1183.0,2952.0,23051.0,444.0,10264.0,0.0,3993.0,24329.0,0.0,0.0,12255.0,737.0,14548.0,22971.0,15013.0,0.0,81.0,2220.0,12068.0,2028.0,12647.0,408.0
2017-07,18042.0,222.0,5606.0,2564.0,52610.0,4392.0,6387.0,305.0,19.0,16978.0,14623.0,0.0,1107.0,4539.0,13652.0,19386.0,5099.0,3667.0,374603.0,1930.0,390.0,0.0,2025.0,6185.0,15464.0,27018.0,1506.0,716.0,1043.0,2656.0,1805.0,1451.0,0.0,1009.0,2315.0,20102.0,496.0,9440.0,0.0,3998.0,23669.0,0.0,0.0,11585.0,1138.0,19766.0,19006.0,11902.0,0.0,103.0,1139.0,10910.0,1798.0,10275.0,279.0
2017-06,19508.0,242.0,6505.0,3033.0,60142.0,4920.0,8290.0,533.0,17.0,18831.0,15591.0,0.0,1082.0,11559.0,14883.0,19163.0,5638.0,2400.0,373842.0,2011.0,567.0,0.0,2477.0,7347.0,17225.0,29559.0,1783.0,730.0,1518.0,2799.0,2895.0,1659.0,0.0,1140.0,2602.0,23048.0,1159.0,11147.0,0.0,4087.0,22674.0,0.0,0.0,13761.0,1266.0,16722.0,23877.0,14721.0,0.0,126.0,728.0,12964.0,1889.0,11645.0,350.0
2017-05,18538.0,247.0,6628.0,4137.0,58722.0,5408.0,8101.0,863.0,10.0,19014.0,14860.0,0.0,1114.0,4933.0,14857.0,24235.0,6872.0,1933.0,374078.0,1574.0,751.0,0.0,2378.0,8372.0,20040.0,38515.0,1743.0,685.0,1460.0,3517.0,2017.0,1503.0,0.0,1183.0,3224.0,24726.0,1017.0,13712.0,0.0,3978.0,24962.0,0.0,0.0,14550.0,1331.0,23584.0,24168.0,16351.0,0.0,55.0,1148.0,14176.0,2141.0,13117.0,435.0
2017-04,17958.0,289.0,7385.0,3158.0,58147.0,5576.0,7557.0,689.0,35.0,22072.0,14464.0,0.0,885.0,6062.0,15405.0,27978.0,9542.0,3189.0,372852.0,2387.0,557.0,0.0,3126.0,7867.0,19168.0,44204.0,1758.0,815.0,1494.0,3869.0,2016.0,1706.0,0.0,1350.0,2879.0,24568.0,1434.0,14485.0,0.0,1830.0,24949.0,0.0,0.0,12113.0,1191.0,22073.0,21593.0,14872.0,0.0,81.0,1074.0,13564.0,2267.0,14511.0,382.0
2017-03,27666.0,362.0,9556.0,4775.0,65892.0,7030.0,8575.0,835.0,24.0,26986.0,23394.0,0.0,1086.0,5620.0,911.0,33324.0,16295.0,2492.0,370113.0,2963.0,949.0,0.0,4056.0,9541.0,25819.0,48301.0,2558.0,1253.0,2182.0,5011.0,3754.0,2480.0,0.0,1467.0,3138.0,34178.0,1614.0,17130.0,0.0,1638.0,32238.0,0.0,0.0,19015.0,1773.0,27766.0,33412.0,17259.0,0.0,64.0,529.0,16813.0,2951.0,20393.0,534.0
2017-02,23900.0,137.0,7938.0,3220.0,56533.0,6447.0,6436.0,692.0,25.0,23617.0,18666.0,0.0,1035.0,5342.0,11166.0,92422.0,12039.0,3179.0,283492.0,3184.0,696.0,0.0,3812.0,8255.0,21600.0,38315.0,1966.0,1001.0,1911.0,4867.0,2158.0,2855.0,0.0,1230.0,2794.0,29573.0,1764.0,12784.0,0.0,972.0,27792.0,0.0,0.0,17148.0,1662.0,19252.0,23960.0,14815.0,0.0,72.0,838.0,13432.0,2274.0,18733.0,330.0
2017-01,25093.0,185.0,8117.0,2512.0,62397.0,5619.0,6706.0,736.0,6.0,21675.0,20369.0,0.0,864.0,4469.0,23670.0,45206.0,12527.0,2643.0,325954.0,5210.0,692.0,0.0,3214.0,10394.0,20253.0,66895.0,1914.0,975.0,1859.0,4237.0,2518.0,3583.0,0.0,980.0,3479.0,29898.0,1315.0,11790.0,0.0,1097.0,30105.0,0.0,0.0,13868.0,1695.0,45857.0,28501.0,11312.0,0.0,61.0,846.0,14089.0,2063.0,24323.0,449.0
2016-12,26996.0,254.0,8900.0,3294.0,61808.0,5333.0,6527.0,320.0,4.0,24096.0,16891.0,0.0,1139.0,3292.0,17509.0,40729.0,12486.0,1368.0,358510.0,6268.0,442.0,0.0,3687.0,8192.0,17469.0,32841.0,1771.0,1167.0,1408.0,4704.0,2216.0,3160.0,0.0,1079.0,2469.0,29463.0,1189.0,11781.0,0.0,777.0,28180.0,0.0,0.0,9634.0,1238.0,5124.0,24494.0,12544.0,0.0,47.0,1145.0,14178.0,1465.0,24129.0,437.0
2016-11,22628.0,254.0,8398.0,2755.0,53278.0,7129.0,6766.0,261.0,1.0,25377.0,19019.0,0.0,1347.0,1660.0,26250.0,40805.0,12788.0,2459.0,297507.0,2928.0,533.0,0.0,2214.0,9009.0,20528.0,32676.0,2052.0,1504.0,1621.0,5008.0,2595.0,3814.0,0.0,1019.0,3702.0,29034.0,720.0,12670.0,0.0,831.0,30800.0,0.0,0.0,12216.0,1501.0,17474.0,23199.0,13500.0,0.0,54.0,695.0,13926.0,1786.0,26474.0,393.0
2016-10,22979.0,336.0,8072.0,4005.0,60578.0,4751.0,6827.0,1317.0,0.0,23891.0,17189.0,0.0,1268.0,2895.0,20563.0,30950.0,10955.0,2283.0,354387.0,3103.0,567.0,0.0,2866.0,8761.0,18470.0,38403.0,2004.0,1921.0,1523.0,4705.0,1726.0,4062.0,0.0,883.0,3941.0,26407.0,676.0,12693.0,0.0,787.0,29248.0,0.0,0.0,11817.0,1629.0,12980.0,34700.0,13883.0,0.0,37.0,816.0,15570.0,1937.0,28980.0,534.0
2016-09,22014.0,306.0,8641.0,3300.0,62196.0,5593.0,6953.0,291.0,0.0,24431.0,14745.0,0.0,1237.0,2726.0,17365.0,30423.0,9095.0,1748.0,276744.0,2914.0,660.0,0.0,2659.0,8095.0,15152.0,30783.0,2554.0,2907.0,1355.0,3682.0,2386.0,4131.0,0.0,927.0,4362.0,25994.0,819.0,11166.0,0.0,114.0,26936.0,0.0,0.0,10337.0,1335.0,11512.0,29142.0,11262.0,0.0,42.0,804.0,12021.0,1686.0,30268.0,699.0
2016-08,22987.0,183.0,8752.0,5990.0,75535.0,6238.0,13217.0,705.0,2.0,31652.0,18136.0,0.0,1298.0,2919.0,17735.0,44252.0,9861.0,1581.0,9579.0,3231.0,615.0,0.0,2761.0,8977.0,16743.0,28620.0,2524.0,5318.0,1483.0,4257.0,2256.0,3629.0,0.0,1141.0,4135.0,28076.0,1216.0,13656.0,0.0,71.0,27897.0,0.0,0.0,13000.0,1259.0,18828.0,25803.0,13405.0,0.0,55.0,776.0,14063.0,1948.0,25551.0,906.0
2016-07,27765.0,215.0,7863.0,4116.0,77962.0,6372.0,14156.0,755.0,0.0,28106.0,20555.0,0.0,1563.0,3606.0,125075.0,53844.0,9391.0,1320.0,342858.0,2595.0,540.0,0.0,2383.0,7091.0,15869.0,22422.0,1913.0,6903.0,1356.0,3629.0,2497.0,3882.0,0.0,1103.0,3738.0,25408.0,1305.0,11762.0,0.0,21.0,26819.0,0.0,0.0,14025.0,1179.0,1915.0,24634.0,9754.0,0.0,81.0,1102.0,14111.0,1992.0,14505.0,597.0
2016-06,24802.0,290.0,6371.0,5233.0,81628.0,5283.0,17183.0,1188.0,23.0,28462.0,16995.0,0.0,1743.0,4079.0,128545.0,61071.0,9899.0,890.0,340735.0,2088.0,763.0,0.0,2132.0,7045.0,15883.0,27062.0,1996.0,7958.0,1614.0,3890.0,2645.0,3728.0,0.0,1202.0,4257.0,26567.0,2462.0,13236.0,0.0,48.0,23639.0,0.0,0.0,12286.0,1155.0,2123.0,23267.0,19677.0,0.0,74.0,985.0,13202.0,1822.0,5459.0,509.0
